Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,Ţara
,BENZATHINIBENZYLPENICILLINUM plus BENZYLPENICILLINUM,210,,,2101001,Bicilin®-3,J01CE30,Full,pentru tratamentul episodic,,Kievmedpreparat SAP,Ucraina
,BENZATHINIBENZYLPENICILLINUM plus BENZYLPENICILLINUM,210,,,2102001,Bicilin®-5,J01CE30,Full,pentru tratamentul episodic,,Kievmedpreparat SAP,Ucraina
075,BETAMETHASONUM + ACIDUM SALICYLICUM,,,0751001,,Glametazon,D07XC01,Partial,Pentru tratamentul psoriazisului,,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",Republica Moldova
083,BICALUTAMIDUM,,,0831002,,Bicalutamida STADA 50 mg,L02BB03,Partial,Pentru tratamentul maladiilor oncologice,,"Laboratorio STADA, S.L., Spania(PROD: Tecnimede Sociedade Tecnico-Medicinal, S.A., Portugalia; )",Spania
083,BICALUTAMIDUM,,,0831001,,Bicalutamid-BP,L02BB03,Full,Pentru tratamentul maladiilor oncologice,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
083,BICALUTAMIDUM,,,0832001,,Bicalutamid-BP,L02BB03,Full,Pentru tratamentul maladiilor oncologice,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
017,BISOPROLOLUM,,,0171001,,Bisogamma® 5,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Worwag Pharma GmbH&Co.KG (prod.: Artesan Pharma GmbH&Co.KG, Germania; Magistra C&C SRL, SC, România; Worwag Pharma GmbH&Co.KG, Germania)",Germania
017,BISOPROLOLUM,,,0171004,,Biprolol,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"UCF Borsceagov SAP,CŞP",Ucraina
017,BISOPROLOLUM,,,0171005,,Bisotens® 5 mg,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",România
017,BISOPROLOLUM,,,0171009,,Concor®,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Merck KGaA,Germania
017,BISOPROLOLUM,,,0171012,,Bidop® 5 mg,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda)",Ungaria
017,BISOPROLOLUM,,,0171013,,Niperten,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia)",Slovenia
017,BISOPROLOLUM,,,0171014,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Republica Belarus
017,BISOPROLOLUM,,,0171019,,Bisoprolol-BP,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
017,BISOPROLOLUM,,,0171021,,Bisoprolol,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",Macedonia
017,BISOPROLOLUM,,,0171024,,Bisoprolol-ACOS,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",Rusia
017,BISOPROLOLUM,,,0172001,,Bisogamma® 10,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Worwag Pharma GmbH&Co.KG (prod.: Magistra C&C SRL, SC, România; Mauermann-Arzneimittel KG, Germania)",Germania
017,BISOPROLOLUM,,,0172024,,Bisoprolol-ACOS,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",Rusia
017,BISOPROLOLUM,,,0172004,,Biprolol,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"UCF Borsceagov SAP,CŞP",Ucraina
017,BISOPROLOLUM,,,0172005,,Bisotens® 10 mg,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",România
017,BISOPROLOLUM,,,0172010,,Concor®,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Merck KGaA,Germania
017,BISOPROLOLUM,,,0172012,,Bidop®,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda)",Ungaria
017,BISOPROLOLUM,,,0172013,,Niperten,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia)",Slovenia
017,BISOPROLOLUM,,,0172014,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Republica Belarus
017,BISOPROLOLUM,,,0172019,,Bisoprolol-BP,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
017,BISOPROLOLUM,,,0172021,,Bisoprolol,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",Macedonia
017,BISOPROLOLUM,,,0173001,,Bidop®,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda)",Ungaria
017,BISOPROLOLUM,,,0173002,,Concor® Cor,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Merck KGaA,Germania
017,BISOPROLOLUM,,,0173002,,Concor® Cor,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Merck KGaA,Germania
017,BISOPROLOLUM,,,0173003,,Niperten,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia)",Slovenia
017,BISOPROLOLUM,,,0173008,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Republica Belarus
017,BISOPROLOLUM,,,0173006,,Bisoprolol-BP,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
396,BRIMONIDINUM+TIMOLOLUM,,,3961001,,Brimoptic™,S01ED51,Full,Pentru tratamentul maladiilor oftalmologice,,Liqvor SAÎ,Armenia
390,BRINZOLAMIDUM,,,3901001,,Azopt®,S01EC04,Full,Pentru tratamentul maladiilor oftalmologice,,"Novartis Pharma AG (prod.: Alcon Cusi S.A., Spania; Alcon-Couvreur N.V., SA, Belgia)",Elveţia
390,BRINZOLAMIDUM,,,3901003,,Brizal,S01EC04,Full,Pentru tratamentul maladiilor oftalmologice,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Ucraina
390,BRINZOLAMIDUM,,,3901002,,Brinzopt,S01EC04,Full,Pentru tratamentul maladiilor oftalmologice,,S.C. Rompharm Company S.R.L.,Romania
042,BROMOCRIPTINUM,,,0421001,,Bromocriptin-Richter,G02CB01,Partial,Pentru tratamentul bolilor endocrine,,Gedeon Richter PLC,Ungaria
070,BUDESONIDUM,,,0702001,,Pulmicort®,R03BA02,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",Spania
070,BUDESONIDUM,,,0701001,,Pulmicort®,R03BA02,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",Spania
855,BUDESONIDUM,955,,8551001,9551001,Pulmicort®,R03BA02,Full,pentru tratamentul episodic,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",Spania
068,BUDESONIDUM+FORMOTEROLUM,,,0681001,,Symbicort® Turbuhaler®,R03AK07,Partial,Pentru tratamentul astmului bronşic,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",Suedia
068,BUDESONIDUM+FORMOTEROLUM,,,0682001,,Symbicort® Turbuhaler®,R03AK07,Partial,Pentru tratamentul astmului bronşic,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",Suedia
062,CABERGOLINUM,,,0621002,,Cabergolin-BP,G02CB03,Partial,Pentru tratamentul bolilor endocrine,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
062,CABERGOLINUM,,,0621002,,Cabergolin-BP,G02CB03,Partial,Pentru tratamentul bolilor endocrine,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
503,CARBAMAZEPINUM,,,5031001,,Timonil® retard 150 mg,N03AF01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
503,CARBAMAZEPINUM,,,5032018,,Carbamazepină-BP,N03AF01,Full,Pentru tratamentul epilepsiei,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
503,CARBAMAZEPINUM,,,5033002,,Timonil® retard 300 mg,N03AF01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
503,CARBAMAZEPINUM,,,5035002,,Timonil® retard 600 mg,N03AF01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
503,CARBAMAZEPINUM,,,5036002,,"Timonil®, suspensie orală,100 mg/5ml",N03AF01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
503,CARBAMAZEPINUM,,,5037001,,Carbamazepină-BP,N03AF01,Full,Pentru tratamentul epilepsiei,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
503,CARBAMAZEPINUM,,,5036003,,Mezacar®,N03AF01,Full,Pentru tratamentul epilepsiei,,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",Ucraina
651,CARBAMAZEPINUM,751,,6511001,7511001,Timonil® retard 150 mg,N03AF01,Full,pentru tratamentul episodic,,Desitin Arzneimittel GmbH,Germania
651,CARBAMAZEPINUM,751,,6512018,7512018,Carbamazepină-BP,N03AF01,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
651,CARBAMAZEPINUM,751,,6513002,7513002,Timonil® retard 300 mg,N03AF01,Full,pentru tratamentul episodic,,Desitin Arzneimittel GmbH,Germania
651,CARBAMAZEPINUM,751,,6515002,7515002,Timonil® retard 600 mg,N03AF01,Full,pentru tratamentul episodic,,Desitin Arzneimittel GmbH,Germania
,CARBOCISTEINUM,911,,,9111001,Fluditec,R05CB03,Full,pentru tratamentul episodic,,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa)",Franţa
,CARBOCISTEINUM,911,,,9112001,MUCOCISTIN kids,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Republica Moldova
,CARBOCISTEINUM,911,,,9112002,Fluditec pentru copii,R05CB03,Full,pentru tratamentul episodic,,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa)",Franţa
,CARBOCISTEINUM,911,,,9113001,Bronchobos®,R05CB03,Full,pentru tratamentul episodic,,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",Bosnia şi Herţegovina
,CARBOCISTEINUM,911,,,9114001,Bronchobos®,R05CB03,Full,pentru tratamentul episodic,,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",Bosnia şi Herţegovina
,CARBOCISTEINUM,911,,,9114002,Mucocistin,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Republica Moldova
,CARBOCISTEINUM,911,,,9115001,Bronchobos®,R05CB03,Full,pentru tratamentul episodic,,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",Bosnia şi Herţegovina
,CARBOCISTEINUM,911,,,9115002,MUCOCISTIN,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Republica Moldova
,CARBOCISTEINUM,911,,,9116001,Langhes,R05CB03,Full,pentru tratamentul episodic,,"Sperco-Ucraina ÎM, Ucraina(PROD: Sperco-Ucraina ÎM, Ucraina; )",Ucraina
,CARBOCISTEINUM,911,,,9116002,Langhes,R05CB03,Full,pentru tratamentul episodic,,"Sperco-Ucraina ÎM, Ucraina(PROD: Sperco-Ucraina ÎM, Ucraina; )",Ucraina
054,CARVEDILOLUM,,,0541003,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
054,CARVEDILOLUM,,,0541006,,Karvidil®,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Grindeks SA,Letonia
054,CARVEDILOLUM,,,0542005,,Karvidil®,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Grindeks SA,Letonia
054,CARVEDILOLUM,,,0542006,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
054,CARVEDILOLUM,,,0543003,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
054,CARVEDILOLUM,,,0543004,,Coryol®,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"KRKA d.d., Novo mesto",Slovenia
054,CARVEDILOLUM,,,0543006,,Karvidil®,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Grindeks SA,Letonia
,CEFACLORUM,909,,,9094001,Medoclor® 125 mg/5 ml,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
,CEFACLORUM,909,,,9091001,Medoclor Forte® 250 mg/5 ml,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
,CEFACLORUM,909,,,9093001,Medoclor®,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
814,CEFALEXINUM,914,,8141003,9141003,Cefalexină Atb® 250 mg,J01DB01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",România
814,CEFALEXINUM,914,,8141005,9141005,Cefalexin-BP,J01DB01,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
814,CEFALEXINUM,914,,8143003,9143003,Cefalexină Atb® 500 mg,J01DB01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",România
814,CEFALEXINUM,914,,8143007,9143007,Cefalexin-BP,J01DB01,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
815,CEFIXIMUM,915,,8151002,9151002,Eficef® 200 mg,J01DD08,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",România
815,CEFIXIMUM,915,,8151003,9151003,Zimaks®,J01DD08,Full,pentru tratamentul episodic,,"Bilim Pharmaceuticals AS (prod.: PharmaVision Sanayii ve Ticaret AS, Turcia)",Turcia
815,CEFIXIMUM,915,,8151006,9151006,Cefidant,J01DD08,Full,pentru tratamentul episodic,,"World Medicine LTD, Georgia(PROD: Pharma Vision Sanayi ve Ticaret A.Ș, Turcia; )",Georgia
813,CEFOPERAZONUM,913,,8131001,9131001,Cefobocid,J01DD12,Full,pentru tratamentul episodic,,"Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina(PROD: Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina; )",Ucraina
813,CEFOPERAZONUM,913,,8131006,9131006,Cefoperazone 1 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Republica Moldova
813,CEFOPERAZONUM,913,,8131006,9131006,Cefoperazone 1 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Republica Moldova
813,CEFOPERAZONUM,913,,8131005,9131005,Cefoperazonă,J01DD12,Full,pentru tratamentul episodic,,"NCPC International Corp., China(PROD: NCPC Hebei Huamin Pharmaceutical Co.  Ltd., China; )",China
813,CEFOPERAZONUM,913,,8132001,9132001,Cefoperazon,J01DD12,Full,pentru tratamentul episodic,,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China(PROD: Zhuhai United Laboratories (Zhongshan) Co. Ltd, China; )",China
813,CEFOPERAZONUM,913,,8132003,9132003,Cefoperazone 2 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Republica Moldova
813,CEFOPERAZONUM,913,,8132003,9132003,Cefoperazone 2 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Republica Moldova
816,CEFPODOXIMUM,916,,8161003,9161003,Sefpotec®,J01DD13,Full,pentru tratamentul episodic,,"Nobel Ilac Sanayii ve Ticaret A.Ş. (prod.: Nobel Ilac Sanayii ve Ticaret AŞ, Turcia)",Turcia
816,CEFPODOXIMUM,916,,8161004,9161004,Cefpodo,J01DD13,Full,pentru tratamentul episodic,,"World Medicine Ilac San.ve Tic. A.Ș. (prod.: Pharma Vision Sanayi ve Ticaret A.Ș, Turcia)",Turcia
,CEFPODOXIMUM,916,,,9162001,Sefpotec®,J01DD13,Full,pentru tratamentul episodic,,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret AŞ, Turcia; )",Turcia
,CEFPROZILUM,961,,,9611001,Prefix®,J01DC10,Full,pentru tratamentul episodic,,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş., Turcia; )",Turcia
812,CEFTRIAXONUM,912,,8121001,9121001,Biotraxon,J01DD04,Full,pentru tratamentul episodic,,Pharmaceutical Works Polpharma S.A.,Polonia
812,CEFTRIAXONUM,912,,8121003,9121003,Ceftriaxon,J01DD04,Full,pentru tratamentul episodic,,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China",China
812,CEFTRIAXONUM,912,,8122002,9122002,Biotraxon,J01DD04,Full,pentru tratamentul episodic,,Pharmaceutical Works Polpharma S.A.,Polonia
812,CEFTRIAXONUM,912,,8122004,9122004,Ceftriaxon,J01DD04,Full,pentru tratamentul episodic,,Kievmedpreparat SAP,Ucraina
812,CEFTRIAXONUM,912,,8122006,9122006,Ceftriaxon,J01DD04,Full,pentru tratamentul episodic,,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China",China
812,CEFTRIAXONUM,912,,8123002,9123002,Ceftriaxon-BHFZ,J01DD04,Full,pentru tratamentul episodic,,"Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina(PROD: Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina; )",Ucraina
812,CEFTRIAXONUM,912,,8123003,9123003,Medaxone®,J01DD04,Full,pentru tratamentul episodic,,"Medochemie Ltd (prod.: Medochemie Ltd (Factory C), Cipru)",Cipru
812,CEFTRIAXONUM,912,,8123003,9123003,Medaxone®,J01DD04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
812,CEFTRIAXONUM,912,,8123008,9123008,Ceftriaxon,J01DD04,Full,pentru tratamentul episodic,,UPM din Borisov SAD,Republica Belarus
812,CEFTRIAXONUM,912,,8123010,9123010,Ceftriaxonă-BP,J01DD04,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
812,CEFTRIAXONUM,912,,8123010,9123010,Ceftriaxonă-BP,J01DD04,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
812,CEFTRIAXONUM,912,,8124001,9124001,Forsef® 1 g IV,J01DD04,Full,pentru tratamentul episodic,,"Bilim Ilac Sanayi Ve Ticaret A.Ș. (prod.: Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; PharmaVision Sanayi ve Ticaret A.Ş., Turcia)",Turcia
812,CEFTRIAXONUM,912,,8124003,9124003,Trikaxon 1g IV,J01DD04,Full,pentru tratamentul episodic,,"Vinamex ÎM SRL, Republica Moldova(PROD: LABORATORIOS NORMON, S.A., Spania; )",Republica Moldova
812,CEFTRIAXONUM,912,,8125003,9125003,Forsef®1 g IM,J01DD04,Full,pentru tratamentul episodic,,"Bilim Ilac Sanayi Ve Ticaret A.Ș. (prod.: Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; İmaretçioğlu İlaç San. Ltd. Şti., Turcia; PharmaVision Sanayi ve Ticaret A.Ş., Turcia; Zentiva Saglik Urunleri San. Ve Tic. A.Ş., Turcia)",Turcia
812,CEFTRIAXONUM,912,,8125004,9125004,Peo cu Lidocaină,J01DD04,Full,pentru tratamentul episodic,,"GM Pharmaceuticals Ltd. (prod.: GM Pharmaceuticals Ltd., Georgia; Laboratorio REIG JOFRE S.A., Spania)",Georgia
812,CEFTRIAXONUM,912,,8125016,9125016,Axone-L,J01DD04,Full,pentru tratamentul episodic,,"Cadila Pharmaceuticals Limited, India(PROD: Cadila Pharmaceuticals Limited, India; )",India
812,CEFTRIAXONUM,912,,8125005,9125005,Rotacef,J01DD04,Full,pentru tratamentul episodic,,"Rotapharm Limited, Marea Britanie(PROD: Pharma Vision Sanayi ve Ticaret A.Ș, Turcia; )",Marea Britanie
812,CEFTRIAXONUM,912,,8125008,9125008,Sefabel®,J01DD04,Full,pentru tratamentul episodic,,"Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",Turcia
812,CEFTRIAXONUM,912,,8125011,9125011,Desefin 1 g IM,J01DD04,Full,pentru tratamentul episodic,,"Deva Holding A S, Turcia(PROD: Deva Holding A.Ș., Turcia; )",Turcia
812,CEFTRIAXONUM,912,,8125012,9125012,Cefamed,J01DD04,Full,pentru tratamentul episodic,,"World Medicine Limited, Marea Britanie(PROD: PharmaVision Sanayi ve Ticaret A.Ş., Turcia; )",Marea Britanie
812,CEFTRIAXONUM,912,,8125015,9125015,Cefamed,J01DD04,Full,pentru tratamentul episodic,,"World Medicine Limited, Marea Britanie(PROD: Egyptian International Pharmaceutical Industries Co. (E.I.P.I.Co.), Egipt; )",Marea Britanie
812,CEFTRIAXONUM,912,,8125013,9125013,Cefson™,J01DD04,Full,pentru tratamentul episodic,,"World Medicine Ilac San.ve Tic. A.Ș. (prod.: Pharma Vision Sanayi ve Ticaret A.Ș, Turcia)",Turcia
812,CEFTRIAXONUM,912,,8125014,9125014,Trikaxon 1g IM,J01DD04,Full,pentru tratamentul episodic,,"Vinamex ÎM SRL, Republica Moldova(PROD: LABORATORIOS NORMON, S.A., Spania; )",Republica Moldova
812,CEFTRIAXONUM,912,,8126002,9126002,Ceftriaxone,J01DD04,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Republica Moldova
812,CEFTRIAXONUM,912,,8127001,9127001,Sefabel®,J01DD04,Full,pentru tratamentul episodic,,"Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",Turcia
817,CEFUROXIMUM,225,,8172003,2252003,Zinnat®,J01DC02,Full,pentru tratamentul episodic,,"Glaxo Wellcome UK Ltd, Marea Britanie(PROD: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie; )",Marea Britanie
817,CEFUROXIMUM,225,,8172010,2252010,Axetine,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
817,CEFUROXIMUM,225,,8173001,2253001,Aksef®,J01DC02,Full,pentru tratamentul episodic,,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",Turcia
817,CEFUROXIMUM,225,,8173003,2253003,Enfexia®,J01DC02,Full,pentru tratamentul episodic,,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia; )",Turcia
817,CEFUROXIMUM,225,,8173003,2253003,Enfexia®,J01DC02,Full,pentru tratamentul episodic,,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia; )",Turcia
817,CEFUROXIMUM,225,,8173005,2253005,Zinnat®,J01DC02,Full,pentru tratamentul episodic,,"Glaxo Wellcome UK Ltd, Marea Britanie(PROD: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie; )",Marea Britanie
817,CEFUROXIMUM,225,,8173010,2253010,Axetine,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
817,CEFUROXIMUM,225,,8174006,2254006,Cefuroximă Atb® 750 mg,J01DC02,Full,pentru tratamentul episodic,,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",România
817,CEFUROXIMUM,225,,8174007,2254007,Aksef®,J01DC02,Full,pentru tratamentul episodic,,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",Turcia
817,CEFUROXIMUM,225,,8175003,2255003,Cefuroximă,J01DC02,Full,pentru tratamentul episodic,,"NCPC International Corp., China(PROD: NCPC Hebei Huamin Pharmaceutical Co.  Ltd., China; )",China
817,CEFUROXIMUM,225,,8175004,2255004,Zinacef™,J01DC02,Full,pentru tratamentul episodic,,"Glaxo Operations UK Limited (Glaxo Wellcome Operations) (prod.: GlaxoSmithKline Manufacturing SpA, Italia)",Marea Britanie
817,CEFUROXIMUM,225,,8175005,2255005,Axetine®,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Cipru
817,CEFUROXIMUM,225,,8175009,2255009,Cefuroxim,J01DC02,Full,pentru tratamentul episodic,,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China(PROD: Zhuhai United Laboratories (Zhongshan) Co. Ltd, China; )",China
