CodDiagnostic,DenDiagnostic,DenSubClasaDiagnostic,DenClasaDiagnostic
G028*,Meningita in cursul altor boli infectioase si parazitare precizate clasate la alte locuri,Boli inflamatorii ale SNC,Bolile sistemului nervos
G030,Meningita cu lichid clar,Boli inflamatorii ale SNC,Bolile sistemului nervos
G031,Meningita cronica,Boli inflamatorii ale SNC,Bolile sistemului nervos
G032,Meningita recurenta benigna [Mollaret],Boli inflamatorii ale SNC,Bolile sistemului nervos
G038,Meningita datorita altor cauze precizate,Boli inflamatorii ale SNC,Bolile sistemului nervos
G039,"Meningita, fara precizare",Boli inflamatorii ale SNC,Bolile sistemului nervos
G040,Encefalita acuta diseminata,Boli inflamatorii ale SNC,Bolile sistemului nervos
G041,Paraplegie spastica tropicala,Boli inflamatorii ale SNC,Bolile sistemului nervos
G042,"Meningoencefalita si meningomielita bacteriana, neclasata la alte locuri",Boli inflamatorii ale SNC,Bolile sistemului nervos
G048,"Alte encefalite, mielite si encefalomielite",Boli inflamatorii ale SNC,Bolile sistemului nervos
G049,"Encefalita, mielita si encefalomielita, fara precizare",Boli inflamatorii ale SNC,Bolile sistemului nervos
G050*,"Encefalita, mielita si encefalomielita in cursul infectiilor bacteriene clasate la alte locuri",Boli inflamatorii ale SNC,Bolile sistemului nervos
G051*,"Encefalita, mielita si encefalomielita in cursul infectiilor virale clasate la alte locuri",Boli inflamatorii ale SNC,Bolile sistemului nervos
G052*,"Encefalita, mielita si encefalomielita in cursul altor boli infectioase si parazitare clasate la alte locuri",Boli inflamatorii ale SNC,Bolile sistemului nervos
G058*,"Encefalita, mielita si encefalomielita in cursul altor boli clasate la alte locuri",Boli inflamatorii ale SNC,Bolile sistemului nervos
G060,Abces si granulom intracranian,Boli inflamatorii ale SNC,Bolile sistemului nervos
G061,Abces si granulom intrarahidian,Boli inflamatorii ale SNC,Bolile sistemului nervos
G062,"Abces extradural si subdural, fara precizare",Boli inflamatorii ale SNC,Bolile sistemului nervos
G07*,Abces si granulom intracranian si intrarahidian in cursul afectiunilor clasate la alte locuri,Boli inflamatorii ale SNC,Bolile sistemului nervos
G08,Flebita si tromboflebita intracraniana si intrarahidiana,Boli inflamatorii ale SNC,Bolile sistemului nervos
G09,Sechelele afectiunilor inflamatorii ale sistemului nervos central,Boli inflamatorii ale SNC,Bolile sistemului nervos
G10,Coreea Huntington,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G110,Ataxie congenitala neprogresiva,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G111,Ataxie cerebeloasa cu debut precoce,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G112,Ataxie cerebeloasa tardiva,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G113,Ataxie cerebeloasa cu defect de reparatie a ADN,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G114,Paraplegia spastica ereditara,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G118,Alte ataxii ereditare,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G119,"Ataxie ereditara, fara precizare","Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G120,"Amiotrofia spinala infantila, tip I (Werdning-Hoffman)","Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G121,Alte amiotrofii spinale,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G122,Bolile neuronului motor,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G128,Alte amiotrofii spinale si sindroame inrudite,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G129,"Amiotrofia spinala, fara precizare","Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G130*,Neuromiopatia si neuropatia paraneoplazice,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G131*,Alte afectiuni degenerative sistemice afectand sistemul nervos central in cursul unor boli tumorale clasate la alte locuri,"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G132*,Afectiuni degenerative sistemice afectand sistemul nervos central in cursul unui mixedem (E00.1+;E03.-+),"Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G138*,"Afectiuni degenerative sistemice afectand sistemul nervos central in cursul altor afectiuni, clasate la alte locuri","Atrofii primare sistemice, afectand, in special, SNC",Bolile sistemului nervos
G20,Boala Parkinson,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G210,Sindrom malign dupa neuroleptice,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G211,Alte sindroame secundare parkinsoniene datorite unor medicamente,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G212,Sindrom parkinsonian secundar datorit altor agenti externi,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G213,Sindrom parkinsonian postencefalitic,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G218,Alte sindroame parkinsoniene secundare,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G219,"Sindrom parkinsonian, fara precizare",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G22*,Sindrom parkinsonian in cursul unor boli clasate la alte locuri,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G230,Boala Hallervorden-Spatz,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G231,Oftalmoplegie supranucleara pregresiva (boala Steele-Richardson-Olszewski),Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G232,Degenerescenta striato-nigrica [nigrostriate],Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G238,Alte boli degenerative precizate ale nucleilor centrali cenusii,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G239,"Boala degenerativa a nucleilor centrali cenusii, fara precizare",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G240,Distonia datorita unor medicamente,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G241,Distonia idiopatica familiala,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G242,Distonia idiopatica non familiala,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G243,Torticolis spasmodic,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G244,Distonia buco-faciala,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G245,Blefarospasm,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G248,Alte distonii,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G249,"Distonie, fara precizare",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G250,Tremuraturi esentiale,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G251,Tremuraturi datorite medicamentelor,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G252,Alte forme precizate de tremuraturi,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G253,Mioclonia,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G254,Coreea datorita medicamentelor,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G255,Alte categorii de coree,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G256,Ticuri datorita unor medicamente si alte ticuri de origine organica,Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G258,"Alte sindroame precizate, extrapiramidale si tulburari de motricitate",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G259,"Sindrom extrapiramidal si tulburari de motricitate, fara precizare",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G26*,"Sindroame extrapiramidale si tulburari de motricitate, in cursul unor afectiuni clasate la alte locuri",Tulburari extrapiramidale si ale motricitatii,Bolile sistemului nervos
G300,Boala Alzheimer cu debut precoce,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G301,Boala Alzheimer cu debut tardiv,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G308,Alte forme de boala Alzheimer,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G309,"Boala Alzheimer, fara precizare",Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G310,Atrofia cerebrala circumscrisa,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G311,"Degenerescenta senila a creierului, neclasata la alte locuri",Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G312,Degenerescenta sistemului nervos datorita alcoolului,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G318,Alte afectiuni degenerative precizate ale sistemului nervos,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G319,"Afectiuni degenerative ale sistemului nervos, fara precizare",Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G320*,Degenerescenta combinata subacuta a maduvei spinarii in cursul unor afectiuni clasate la alte locuri,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G328*,Alte afectiuni degenerative precizate ale sistemului nervos in cursul unor boli clasate la alte locuri,Alte afectiuni degenerative ale sistemului nervos,Bolile sistemului nervos
G35,Scleroza multipla,Boli demielinizante ale SNC,Bolile sistemului nervos
G360,Neuromielita optica (Devic),Boli demielinizante ale SNC,Bolile sistemului nervos
G361,Leucoencefalita hemoragica si subacuta [Hurst],Boli demielinizante ale SNC,Bolile sistemului nervos
G368,Alte afectiuni demielinizante acute diseminate si precizate,Boli demielinizante ale SNC,Bolile sistemului nervos
G369,"Afectiuni demielinizante acute diseminate, fara precizare",Boli demielinizante ale SNC,Bolile sistemului nervos
G370,Scleroza difuza,Boli demielinizante ale SNC,Bolile sistemului nervos
G371,Demielinizarea centrala a corpului calos [Marchiafava-Bignami],Boli demielinizante ale SNC,Bolile sistemului nervos
G372,Mielinoliza centrala a podului,Boli demielinizante ale SNC,Bolile sistemului nervos
G373,Mielita transversa acuta FAI,Boli demielinizante ale SNC,Bolile sistemului nervos
G374,Mielita necrozanta subacuta,Boli demielinizante ale SNC,Bolile sistemului nervos
G375,Scleroza concentrica [Balo],Boli demielinizante ale SNC,Bolile sistemului nervos
G378,Alte afectiuni demielinizante precizate ale sistemului nervos central,Boli demielinizante ale SNC,Bolile sistemului nervos
G379,"Afectiuni demielinizate ale sistemului nervos central, fara precizare",Boli demielinizante ale SNC,Bolile sistemului nervos
G400,"Epilepsia si sindroame epileptice idiopatice definite prin localizarea lor (focala,partiala) cu crize cu debut focal",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G401,"Epilepsia si sindroame epileptice simptomatice definite prin localizarea lor (focala,partiala) cu crize partiale simple",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G402,"Epilepsia si sindroame epileptice simptomatice definite prin localizarea lor (focale,partiale) cu crize partiale complexe",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G403,Epilepsia si sindroame epileptice generalizate idiopatice,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G404,Alte epilepsii si sindroame epileptice generalizate,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G405,Sindroame epileptice particulare,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G406,"Crize ""grand mal"" fara precizare (cu sau fara ""petit mal"")",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G407,"Petit mal, fara crize de grand mal, fara precizare",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G408,Alte epilepsii,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G409,"Epilepsie, fara precizare",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G410,"Stare de ""grand mal"" epileptic",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G411,"Stare de ""petit mal"" epileptic",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G412,"Stare de ""mal epileptic"" partial complex",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G418,"Alte stari de ""mal epileptic""",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G419,"Stare de ""mal epileptic"", fara precizare",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G430,Migrena fara aura [migrena comuna],Afectiuni episodice si paroxistice,Bolile sistemului nervos
G431,Migrena cu aura [migrena clasica],Afectiuni episodice si paroxistice,Bolile sistemului nervos
G432,"Stare de ""mal migrenos""",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G433,Migrena complicata,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G438,Alte migrene,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G439,Migrena fara precizare,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G440,Sindrom de algie vasculara a fetei [cefalee histominica Horton],Afectiuni episodice si paroxistice,Bolile sistemului nervos
G441,"Cefalee vasculara, neclasata la alte locuri",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G442,Cefalee zisa de tensiune,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G443,Cefalee cronica post-traumatica,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G444,"Cefalee datorita medicamentelor, neclasate la alte locuri",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G448,Alte sindroame precizate de algie cefalica,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G450,Sindrom vertebro-bazilar,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G451,Sindrom carotidian (emisferic),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G452,Accident ischemic tranzitoriu al teritoriilor arteriale precerebrale multiple si bilaterale,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G453,Amauroza fugace,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G454,Amnezie globala tranzitorie,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G458,Alte accidente ischemice cerebrale tranzitorii si sindroame inrudite,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G459,"Accident ischemic cerebral tranzitoriu, fara precizare",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G460*,Sindromul arterei cerebrale mijlocii (I66.0+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G461*,Sindromul arterei cerebrale anterioara (I66.1+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G462*,Sindromul arterei cerebrale posterioara (I66.2+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G463*,Sindroame vasculare de trunchi cerebral (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G464*,Sindrom cerebelos vascular (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G465*,Sindrom lacunar motor pur (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G466*,Sindrom lacunar senzitiv pur (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G467*,Alte sindroame lacunare (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G468*,Alte sindroame vasculare cerebrale in cursul bolilor cerebro-vasculare (I60-I67+),Afectiuni episodice si paroxistice,Bolile sistemului nervos
G470,Tulburari de adormire si mentinere a somnului [insomnii],Afectiuni episodice si paroxistice,Bolile sistemului nervos
G471,Tulburari de somn prin somnolenta excesiva [hipersomnie],Afectiuni episodice si paroxistice,Bolile sistemului nervos
G472,Tulburari de ciclu veghe-somn,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G473,Apnee in somn,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G474,Narcolepsia si catalepsia,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G478,Alte tulburari de somn,Afectiuni episodice si paroxistice,Bolile sistemului nervos
G479,"Tulburari de somn, fara precizare",Afectiuni episodice si paroxistice,Bolile sistemului nervos
G500,Nevralgia de trigemen,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G501,Algia faciala atipica,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G508,Alte afectiuni ale nervului trigemen,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G509,"Afectiune a nervului trigemen, fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G510,Paralizia faciala a frigore,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G511,Afectiunea ganglionului geniculat,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G512,Sindromul Melkersson-Rosenthal,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G513,Hemispasm facial clonic,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G514,Miokinii faciale,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G518,Alte afectiuni ale nervului facial,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G519,"Afectiune a nervului facial, fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G520,Afectiunile nervului olfactiv,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G521,Afectiunile nervului glosofaringian,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G522,Afectiunile nervului vag,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G523,Afectiunile nervului marele hipoglos,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G527,Afectiunile mai multor nervi cranieni,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G528,Afectiunile altor nervi cranieni precizati,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G529,"Afectiune a nervului cranian, fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G530*,Nevralgia post-zosteriana (B02.2),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G531*,Paralizia mai multor nervi cranieni in cursul unor boli infectioase si parazitare clasate la alte locuri (A00-B99+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G532*,Paralizia mai multor nervi cranieni in cursul sarcoidozei (D86.8+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G533*,Paralizia mai multor nervi cranieni in cursul altor boli clasate la alte locuri (C00-D48+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G538*,Alte afectiuni ale nervilor cranieni in cursul altor boli clasate la alte locuri,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G540,Afectiunile plexului brahial,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G541,Afectiunile plexului lombosacrat,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G542,"Afectiunile radiculare cervicale, neclasate la alte locuri","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G543,"Afectiunile radiculare toracice, neclasate la alte locuri","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G544,"Afectiunile radiculare lombosacrate, neclasate la alte locuri","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G545,Nevralgie amiotrofica,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G546,"Sindromul dureros de ""membru fantoma""","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G547,"Sindromul de ""membru fantoma"" fara element dureros","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G548,"Alte afectiuni ale radacinilor si plexurilor nervoase, neclasate la alte locuri","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G549,"Afectiune a radacinilor si plexurilor nervoase , fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G550*,Compresiunea radacinilor si plexurilor nervoase in cursul bolilor tumorale clasate la alte locuri (C00-D48),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G551*,Compresiunea radacinilor si plexurilor nervoase in cursul leziunilor discurilor intevertebrale (M50-M51+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G552*,Compresiunea radacinilor si plexurilor nervoase in cursul spondilartrozei (M47.-+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G553*,Compresiunea radacinilor si plexurilor nervoase in cazul altor dorsopatii (M45-M46+;M48.-+;M53-M54+),"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G558*,Compresiunea radacinilor si plexurilor nervoase in cursul altor boli clasate la alte locuri,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G560,Sindromul canalului carpian,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G561,Alte leziuni ale nervului median,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G562,Leziunea nervului cubital,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G563,Leziunea nervului radial,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G564,Cauzalgie,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G568,Alte mononevrite ale membrului superior,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G569,"Mononevrita a membrului superior, fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G570,Leziunea nervului sciatic,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G571,Meralgia parestezica,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G572,Leziunea nervului femural,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G573,Leziunea nervului sciatic popliteu extern,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G574,Leziunea nervului sciatic popliteu intern,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G575,Sindromul canalului tarsului,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G576,Leziunea nervului plantar,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G578,Alte mononevrite ale membrului inferior,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G579,"Mononevrita a membrului inferior, fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G580,Nevrita intercostala,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G587,Mononevrita cu sedii multiple,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G588,Alte mononevrite precizate,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G589,"Mononevrita , fara precizare","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G590*,"Mononevrita diabetica (E10-E14+, cu a patra cifra.4)","Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G598*,Alte mononevrite in cursul unor boli clasate la alte locuri,"Afectiunile nervilor, radacinilor si plexurilor nervoase",Bolile sistemului nervos
G600,Neuropatia ereditara motrice si senzoriala,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G601,Boala Refsum,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G602,Neuropatia asociata unei ataxii ereditare,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G603,Neuropatia progresiva idiopatica,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G608,Alte neuropatii ereditare si idiopatice,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G609,"Neuropatie ereditara si idiopatica, fara precizare",Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G610,Sindromul Guillain-Barre,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G611,Neuropatia serica,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G618,Alte polinevrite inflamatorii,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G619,"Polinevrita inflamatorie, fara precizare",Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G620,Polinevrita datorita unor medicamente,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G621,Polinevrita alcoolica,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G622,Polinevrita datorita unor agenti toxici,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G628,Alte polinevrite precizate,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G629,"Polinevrita, fara precizari",Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G630*,Polinevrita in cursul unor boli infectioase si parazitare clasate la alte locuri,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G631*,Polinevrita in cursul unei boli tumorale clasate la alte locuri (C00-D48+),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G632*,Polinevrita diabetica (E10-E14+ cu cea de a patra cifra.4),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G633*,Polinevrita in cursul altor boli endrocrine si metabolice clasate la alte locuri (E00-E07+;E15-E16+;E20-E34+;E70-E89+),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G634*,Polinevrita prin carenta nutritionala clasata la alte locuri (E40-E64+),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G635*,Polinevrita in cursul afectiunilor diseminate de tesut conjuctiv clasate la alte locuri (M30-M35+),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G636*,Polinevrita in cursul altor afectiuni osteo-articulare si ale muschilor clasate la alte locuri (M00-M25+;M40-M96+),Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G638*,Polinevrita in cursul altor boli clasate la alte locuri,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G64,Alte afectiuni ale sistemului nervos periferic,Polinevrite si alte afectiuni ale sistemului nervos periferic,Bolile sistemului nervos
G700,Miastenia,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G701,Afectiuni neuro-musculare toxice,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G702,Miastenia congenitala si in cursul dezvoltarii,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G708,Alte afectiuni neuro-musculare precizate,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G709,"Afectiune neuro-musculara, fara precizare",Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G710,Distrofie musculara,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G711,Afectiuni miotonice,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G712,Miopatii congenitale,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G713,"Miopatie mitochondriala, neclasata la alte locuri",Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G718,Alte afectiuni musculare primitive,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G719,"Afectiuni musculare primitive, fara precizare",Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G720,Miopatia datorita medicamentelor,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G721,Miopatia alcoolica,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
G722,Miopatia datorita altor agenti toxici,Afectiuni musculare si neuro-musculare,Bolile sistemului nervos
